date,price
1524715500,8844.12136213
1524715800,8862.0
1524716100,8871.0551814
1524716400,8864.14498792
1524716700,8863.32930001
1524717000,8863.42705555
1524717300,8898.247168
1524717600,8915.51264472
1524717900,8920.0
1524718200,8922.46716638
1524718500,8929.0
1524718800,8912.1419717
1524719100,8935.97176094
1524719400,8959.05375648
1524719700,8924.02427204
1524720000,8942.88577154
1524720300,8904.56000033
1524720600,8906.59876234
1524720900,8920.13122034
1524721200,8884.48803749
1524721500,8888.88
1524721800,8873.41421999
1524722100,8880.00000025
1524722400,8915.93230711
1524722700,8916.33572819
1524723000,8931.9
1524723300,8910.95846132
1524723600,8910.65902794
1524723900,8910.93418946
1524724200,8840.0
1524724500,8790.0
1524724800,8809.94907598
1524725100,8829.97595128
1524725400,8838.6247695
1524725700,8819.64860546
1524726000,8850.0
1524726300,8825.08862509
1524726600,8820.00000001
1524726900,8844.0
1524727200,8839.81404242
1524727500,8838.08110354
1524727800,8838.0
1524728100,8850.32808048
1524728400,8869.39656818
1524728700,8869.22878614
1524729000,8860.02427182
1524729300,8866.83863136
1524729600,8869.0
1524729900,8866.83863136
1524730200,8832.32651337
1524730500,8768.78643289
1524730800,8752.72233345
1524731100,8736.77137731
1524731400,8768.9872566
1524731700,8700.0
1524732000,8710.00354996
1524732300,8734.806432
1524732600,8720.00354997
1524732900,8724.0
1524733200,8757.99999999
1524733500,8749.25074924
1524733800,8752.0
1524734100,8740.26948982
1524734400,8747.00000014
1524734700,8750.0
1524735000,8677.966641
1524735300,8682.83363845
1524735600,8694.52212567
1524735900,8701.11700455
1524736200,8720.0
1524736500,8750.0
1524736800,8751.74825176
1524737100,8786.77115846
1524737400,8800.67999891
1524737700,8775.0
1524738000,8793.40623889
1524738300,8850.00000001
1524738600,8830.25947619
1524738900,8860.64868
1524739200,8876.17523238
1524739500,8850.0
1524739800,8876.79241637
1524740100,8864.6555652
1524740400,8837.97802801
1524740700,8843.22173892
1524741000,8862.0441891
1524741300,8897.69092087
1524741600,8884.32572819
1524741900,8867.08
1524742200,8851.02402676
1524742500,8864.26957625
1524742800,8853.96472559
1524743100,8863.76182036
1524743400,8832.51312331
1524743700,8850.11067851
1524744000,8881.91476267
1524744300,8900.0
1524744600,8912.4
1524744900,8930.0
1524745200,8900.0
1524745500,8880.0
1524745800,8873.44419023
1524746100,8907.04
1524746400,8923.95907026
1524746700,8923.00000021
1524747000,8930.0
1524747300,8911.08891053
1524747600,8870.0
1524747900,8863.0
1524748200,8870.0
1524748500,8860.21507745
1524748800,8794.24985546
1524749100,8862.26206455
1524749400,8837.51837893
1524749700,8821.00000084
1524750000,8840.08840032
1524750300,8870.0
1524750600,8835.0
1524750900,8815.02221759
1524751200,8833.42401767
1524751500,8859.08886975
1524751800,8863.23153908
1524752100,8862.0
1524752400,8784.09999901
1524752700,8790.0
1524753000,8766.08837871
1524753300,8791.90956738
1524753600,8791.89999999
1524753900,8806.31215186
1524754200,8799.97597453
1524754500,8835.82488999
1524754800,8830.13157482
1524755100,8801.5
1524755400,8807.91112936
1524755700,8794.0
1524756000,8799.0
1524756300,8806.0
1524756600,8806.1992199
1524756900,8797.40179603
1524757200,8781.9924871
1524757500,8795.3
1524757800,8806.35086502
1524758100,8800.13692187
1524758400,8799.90496698
1524758700,8799.99999999
1524759000,8805.9999991
1524759300,8827.63169093
1524759600,8852.44405057
1524759900,8850.06846091
1524760200,8845.0
1524760500,8864.67633924
1524760800,8889.61
1524761100,8885.98802785
1524761400,8888.60932169
1524761700,8899.9
1524762000,8890.0
1524762300,8873.45889522
1524762600,8886.78
1524762900,8914.26411988
1524763200,8893.27231042
1524763500,8850.0
1524763800,8881.56
1524764100,8877.37758161
1524764400,8847.56167798
1524764700,8848.0
1524765000,8866.36492817
1524765300,8842.13988105
1524765600,8867.81477913
1524765900,8849.0
1524766200,8845.04878975
1524766500,8846.2053829
1524766800,8879.12798202
1524767100,8877.44
1524767400,8863.56823118
1524767700,8881.0292388
1524768000,8859.0
1524768300,8855.32834158
1524768600,8836.16373972
1524768900,8846.38716664
1524769200,8839.51413274
1524769500,8850.0
1524769800,8849.73258377
1524770100,8865.0
1524770400,8840.07279186
1524770700,8860.0485208
1524771000,8864.81572819
1524771300,8883.60834183
1524771600,8883.54168917
1524771900,8873.55718349
1524772200,8870.0
1524772500,8870.62
1524772800,8873.65427269
1524773100,9011.50505493
1524773400,9110.82577867
1524773700,9045.63
1524774000,9099.99999999
1524774300,9100.00000003
1524774600,9100.00000003
1524774900,9070.97761464
1524775200,9100.01000003
1524775500,9088.09043296
1524775800,9125.95180828
1524776100,9123.76283195
1524776400,9125.63293775
1524776700,9120.0
1524777000,9100.75627825
1524777300,9116.5
1524777600,9125.63293844
1524777900,9168.77368407
1524778200,9155.06067604
1524778500,9144.99000002
1524778800,9121.93334696
1524779100,9136.99999999
1524779400,9099.92718428
1524779700,9098.16908011
1524780000,9110.90000028
1524780300,9137.03700815
1524780600,9122.16927156
1524780900,9138.76926648
1524781200,9159.16790566
1524781500,9159.14363251
1524781800,9146.79418781
1524782100,9153.25975275
1524782400,9168.0
1524782700,9165.4612705
1524783000,9200.0
1524783300,9225.34137563
1524783600,9258.01
1524783900,9240.0
1524784200,9216.23575811
1524784500,9246.97572803
1524784800,9217.14243051
1524785100,9244.79642511
1524785400,9251.02427182
1524785700,9245.92455674
1524786000,9252.77649111
1524786300,9299.0
1524786600,9270.00000036
1524786900,9286.0
1524787200,9259.88246785
1524787500,9230.42039546
1524787800,9229.46416572
1524788100,9234.97778277
1524788400,9249.24000011
1524788700,9240.0
1524789000,9235.02427183
1524789300,9223.58344579
1524789600,9199.02427192
1524789900,9232.87144894
1524790200,9249.02910115
1524790500,9221.88724011
1524790800,9250.0
1524791100,9243.36199452
1524791400,9243.0
1524791700,9279.00000047
1524792000,9268.52631698
1524792300,9264.31025975
1524792600,9231.32412239
1524792900,9240.0
1524793200,9250.0
1524793500,9242.26221404
1524793800,9239.53128292
1524794100,9243.60148616
1524794400,9244.57457001
1524794700,9244.57457001
1524795000,9240.40600399
1524795300,9298.90488931
1524795600,9265.24588664
1524795900,9265.87221752
1524796200,9279.44342833
1524796500,9250.02427185
1524796800,9260.0
1524797100,9251.06870711
1524797400,9265.0
1524797700,9260.39300001
1524798000,9259.53
1524798300,9241.46703295
1524798600,9224.99999998
1524798900,9216.24221752
1524799200,9218.16168562
1524799500,9225.0
1524799800,9235.93556516
1524800100,9217.11
1524800400,9167.14822013
1524800700,9190.18
1524801000,9188.68452162
1524801300,9140.00000002
1524801600,9114.19947372
1524801900,9176.99975357
1524802200,9171.06665222
1524802500,9181.172
1524802800,9190.36621764
1524803100,9210.01
1524803400,9199.98572767
1524803700,9209.92
1524804000,9223.0
1524804300,9232.88292046
1524804600,9215.78994106
1524804900,9202.0000002
1524805200,9202.0
1524805500,9200.3
