word,probability
during,"{-1: 0.0001559332605644784, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
week,"{-1: 0.001559332605644784, 0: 0.0011850347045877772, 1: 0.0018722696068233825}"
operator,"{-1: 0.000389833151411196, 0: 0.0005078720162519045, 1: 0.00020802995631370917}"
design,"{-1: 0.002572898799313894, 0: 0.0016929067208396817, 1: 0.003397822619790583}"
brand,"{-1: 0.0009355995633868704, 0: 0.0011850347045877772, 1: 0.0016642396505096733}"
player,"{-1: 0.000389833151411196, 0: 0.00033858134416793635, 1: 0.0001386866375424728}"
trendy,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
way,"{-1: 0.0009355995633868704, 0: 0.0005078720162519045, 1: 0.0013868663754247278}"
steal,"{-1: 0.0024949321690316546, 0: 0.0011850347045877772, 1: 0.0016642396505096733}"
base,"{-1: 0.0012474660845158273, 0: 0.00186219739292365, 1: 0.0017335829692809099}"
coingeek,"{-1: 0.000389833151411196, 0: 0.00016929067208396818, 1: 0.00034671659385618195}"
fund,"{-1: 0.0036644316232652425, 0: 0.002877941425427459, 1: 0.0047153456764440745}"
bch,"{-1: 0.002261032278184937, 0: 0.001015744032503809, 1: 0.0029124193883919283}"
preparation,"{-1: 0.0003118665211289568, 0: 0.00016929067208396818, 1: 0.00034671659385618195}"
philippine,"{-1: 0.000779666302822392, 0: 0.00033858134416793635, 1: 0.0005547465501698911}"
weiss,"{-1: 7.79666302822392e-05, 0: 0.00033858134416793635, 1: 0.0001386866375424728}"
valuation,"{-1: 0.0003118665211289568, 0: 0.0005078720162519045, 1: 0.00034671659385618195}"
cryptocurrencie,"{-1: 0.004522064556369874, 0: 0.00186219739292365, 1: 0.0038832258511892377}"
prize,"{-1: 0.000779666302822392, 0: 0.00033858134416793635, 1: 0.0008321198252548367}"
account,"{-1: 0.0047559644472165916, 0: 0.00186219739292365, 1: 0.004368629082587893}"
south,"{-1: 0.0029627319507250895, 0: 0.00186219739292365, 1: 0.002843076069620692}"
korea,"{-1: 0.001559332605644784, 0: 0.0015236160487557136, 1: 0.0018722696068233825}"
clarifie,"{-1: 0.0002338998908467176, 0: 0.00033858134416793635, 1: 0.0004854032313986547}"
perspective,"{-1: 0.0005457664119756744, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
possible,"{-1: 0.0002338998908467176, 0: 0.00033858134416793635, 1: 0.00034671659385618195}"
censor,"{-1: 0.002338998908467176, 0: 0.001015744032503809, 1: 0.002843076069620692}"
transaction,"{-1: 0.0017932324964915016, 0: 0.0011850347045877772, 1: 0.0006240898689411275}"
russia,"{-1: 0.0014813659753625447, 0: 0.0016929067208396817, 1: 0.002010956244365855}"
draft,"{-1: 0.0007016996725401528, 0: 0.00033858134416793635, 1: 0.00041605991262741833}"
create,"{-1: 0.0010915328239513489, 0: 0.0005078720162519045, 1: 0.0013868663754247278}"
offshore,"{-1: 0.0003118665211289568, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
company,"{-1: 0.0028847653204428503, 0: 0.0008464533604198408, 1: 0.00249635947576451}"
line,"{-1: 0.0020271323873382193, 0: 0.0008464533604198408, 1: 0.0013175230566534915}"
india,"{-1: 0.0016372992359270232, 0: 0.0008464533604198408, 1: 0.0008321198252548367}"
despite,"{-1: 0.0013254327147980665, 0: 0.00016929067208396818, 1: 0.0009014631440260731}"
delhi,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
stance,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.00041605991262741833}"
comply,"{-1: 0.000779666302822392, 0: 0.00016929067208396818, 1: 0.0004854032313986547}"
five,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
standard,"{-1: 0.0005457664119756744, 0: 0.00016929067208396818, 1: 0.00041605991262741833}"
everyday,"{-1: 0.0024169655387494154, 0: 0.0008464533604198408, 1: 0.002843076069620692}"
twitter,"{-1: 0.0007016996725401528, 0: 0.0005078720162519045, 1: 0.0004854032313986547}"
bot,"{-1: 0.0003118665211289568, 0: 0.0005078720162519045, 1: 0.0002773732750849456}"
mimic,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
musk,"{-1: 0.0003118665211289568, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
coinvault,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.0001386866375424728}"
hack,"{-1: 0.0021830656479026977, 0: 0.001015744032503809, 1: 0.0016642396505096733}"
force,"{-1: 0.0006237330422579137, 0: 0.0005078720162519045, 1: 0.0006934331877123639}"
bust,"{-1: 0.000389833151411196, 0: 0.0005078720162519045, 1: 0.00034671659385618195}"
allege,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.0006240898689411275}"
age,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.00020802995631370917}"
scam,"{-1: 0.0007016996725401528, 0: 0.0005078720162519045, 1: 0.0006240898689411275}"
heavy,"{-1: 0.0009355995633868704, 0: 0.0016929067208396817, 1: 0.0016642396505096733}"
korean,"{-1: 0.0032745984718540464, 0: 0.001015744032503809, 1: 0.002288329519450801}"
launch,"{-1: 0.005535630750038983, 0: 0.003893685457931268, 1: 0.00672630192080993}"
index,"{-1: 0.0007016996725401528, 0: 0.00033858134416793635, 1: 0.0007627765064836003}"
switzerland,"{-1: 0.000389833151411196, 0: 0.0008464533604198408, 1: 0.00034671659385618195}"
regard,"{-1: 0.000779666302822392, 0: 0.00186219739292365, 1: 0.0009014631440260731}"
allow,"{-1: 0.0017152658662092624, 0: 0.001015744032503809, 1: 0.001248179737882255}"
bank,"{-1: 0.0057695306408857006, 0: 0.003893685457931268, 1: 0.006795645239581166}"
malta,"{-1: 0.0005457664119756744, 0: 0.0005078720162519045, 1: 0.0008321198252548367}"
bloom,"{-1: 7.79666302822392e-05, 0: 0.00016929067208396818, 1: 0.0006934331877123639}"
minister,"{-1: 0.000389833151411196, 0: 0.0005078720162519045, 1: 0.00041605991262741833}"
welcome,"{-1: 0.0004677997816934352, 0: 0.00033858134416793635, 1: 0.0002773732750849456}"
island,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 0.0002773732750849456}"
economic,"{-1: 0.0005457664119756744, 0: 0.00033858134416793635, 1: 0.0002773732750849456}"
dedicate,"{-1: 0.0002338998908467176, 0: 0.00016929067208396818, 1: 6.93433187712364e-05}"
